Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,4000,4250,4125,29-Dec-19
2,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3900,4280,4050,26-Dec-19
3,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3750,4150,3900,15-Dec-19
4,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3000,3785,3750,01-Dec-19
5,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3000,3685,3350,24-Nov-19
6,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2900,3625,3250,21-Nov-19
7,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2700,3550,3150,17-Nov-19
8,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2600,3500,3150,14-Nov-19
9,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2600,3675,3175,10-Nov-19
10,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2500,3600,3450,07-Nov-19
11,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2500,3580,3250,03-Nov-19
12,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2800,3315,3150,31-Oct-19
13,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2750,3250,3050,24-Oct-19
14,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,2800,3365,3150,21-Oct-19
15,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3430,3450,3430,22-Aug-19
16,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3450,3450,3450,25-Jul-19
17,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3475,3475,3475,18-Jul-19
18,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3450,3450,3450,11-Jul-19
19,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3450,3500,3450,30-Jun-19
20,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3450,3450,3450,27-Jun-19
21,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3530,3550,3530,23-Jun-19
22,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3520,3550,3520,20-Jun-19
23,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3450,3550,3500,13-Jun-19
24,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3480,3480,3480,09-Jun-19
25,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3550,3620,3550,30-May-19
26,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3600,3550,26-May-19
27,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3550,3550,3550,23-May-19
28,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3505,3500,09-May-19
29,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3595,3550,29-Apr-19
30,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3595,3550,28-Apr-19
31,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3550,3585,3550,25-Apr-19
32,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3565,3500,21-Apr-19
33,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3520,3500,18-Apr-19
34,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3575,3600,3575,14-Apr-19
35,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3575,3600,3575,10-Apr-19
36,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3525,3500,01-Apr-19
37,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3505,3500,28-Mar-19
38,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3570,3550,10-Mar-19
39,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3600,3550,07-Mar-19
40,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3500,3575,3550,17-Feb-19
41,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3630,3665,3650,04-Feb-19
42,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3600,3665,3650,03-Feb-19
43,Nagpur,Bhiwapur,Soyabean,Yellow,FAQ,3300,3430,3400,13-Jan-19
44,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3800,4290,4050,30-Dec-19
45,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3670,4300,4030,27-Dec-19
46,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3800,4300,4000,23-Dec-19
47,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3800,4260,4050,21-Dec-19
48,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3700,4175,3860,20-Dec-19
49,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3700,4090,3845,19-Dec-19
50,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3500,4035,3865,18-Dec-19
51,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3500,4135,4015,16-Dec-19
52,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3500,3980,3715,14-Dec-19
53,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3500,4085,3875,13-Dec-19
54,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3500,4100,4015,12-Dec-19
55,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,3800,3600,07-Dec-19
56,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,4035,3750,06-Dec-19
57,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,4000,3750,05-Dec-19
58,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,4015,3710,04-Dec-19
59,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,3900,3670,03-Dec-19
60,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,3900,3670,02-Dec-19
61,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,3820,3670,30-Nov-19
62,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3400,3835,3640,29-Nov-19
63,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3890,3570,28-Nov-19
64,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3840,3550,27-Nov-19
65,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3880,3590,26-Nov-19
66,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3860,3550,25-Nov-19
67,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3815,3560,23-Nov-19
68,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3700,3500,22-Nov-19
69,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3765,3500,21-Nov-19
70,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3785,3550,20-Nov-19
71,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3650,3440,19-Nov-19
72,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3740,3510,18-Nov-19
73,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3700,3500,16-Nov-19
74,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3700,3500,15-Nov-19
75,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3750,3545,14-Nov-19
76,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3300,3712,3685,13-Nov-19
77,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3825,3550,11-Nov-19
78,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3265,3760,3615,08-Nov-19
79,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3630,3440,07-Nov-19
80,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3200,3620,3410,06-Nov-19
81,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3100,3690,3545,04-Nov-19
82,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3230,3230,3230,22-May-19
83,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3600,3600,3600,21-May-19
84,Nagpur,Kalmeshwar,Soyabean,Yellow,FAQ,3550,3550,3550,13-May-19
85,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,4331,4050,31-Dec-19
86,Nagpur,Katol,Soyabean,Yellow,FAQ,3550,4320,4120,30-Dec-19
87,Nagpur,Katol,Soyabean,Yellow,FAQ,3670,4365,4020,29-Dec-19
88,Nagpur,Katol,Soyabean,Yellow,FAQ,3275,4265,4060,27-Dec-19
89,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,4279,3820,26-Dec-19
90,Nagpur,Katol,Soyabean,Yellow,FAQ,3500,4195,3820,24-Dec-19
91,Nagpur,Katol,Soyabean,Yellow,FAQ,3500,4260,4050,23-Dec-19
92,Nagpur,Katol,Soyabean,Yellow,FAQ,3251,4167,3820,22-Dec-19
93,Nagpur,Katol,Soyabean,Yellow,FAQ,3421,4176,3850,20-Dec-19
94,Nagpur,Katol,Soyabean,Yellow,FAQ,3700,4150,3920,19-Dec-19
95,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,4200,3900,18-Dec-19
96,Nagpur,Katol,Soyabean,Yellow,FAQ,3250,4191,3620,17-Dec-19
97,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,4167,3820,16-Dec-19
98,Nagpur,Katol,Soyabean,Yellow,FAQ,3600,4150,3820,15-Dec-19
99,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,4200,3800,13-Dec-19
100,Nagpur,Katol,Soyabean,Yellow,FAQ,3600,3981,3760,12-Dec-19
101,Nagpur,Katol,Soyabean,Yellow,FAQ,3381,3980,3620,11-Dec-19
102,Nagpur,Katol,Soyabean,Yellow,FAQ,2900,3980,3500,10-Dec-19
103,Nagpur,Katol,Soyabean,Yellow,FAQ,3271,3981,3620,09-Dec-19
104,Nagpur,Katol,Soyabean,Yellow,FAQ,3170,3970,3520,08-Dec-19
105,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3961,3720,06-Dec-19
106,Nagpur,Katol,Soyabean,Yellow,FAQ,3135,3880,3530,05-Dec-19
107,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3887,3420,04-Dec-19
108,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3900,3600,03-Dec-19
109,Nagpur,Katol,Soyabean,Yellow,FAQ,2921,3823,3520,02-Dec-19
110,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3851,3550,01-Dec-19
111,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3805,3610,29-Nov-19
112,Nagpur,Katol,Soyabean,Yellow,FAQ,3050,3760,3460,28-Nov-19
113,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3800,3500,27-Nov-19
114,Nagpur,Katol,Soyabean,Yellow,FAQ,2910,3751,3520,26-Nov-19
115,Nagpur,Katol,Soyabean,Yellow,FAQ,3050,3774,3520,25-Nov-19
116,Nagpur,Katol,Soyabean,Yellow,FAQ,2780,3681,3420,24-Nov-19
117,Nagpur,Katol,Soyabean,Yellow,FAQ,2900,3691,3430,22-Nov-19
118,Nagpur,Katol,Soyabean,Yellow,FAQ,2950,3711,3530,21-Nov-19
119,Nagpur,Katol,Soyabean,Yellow,FAQ,2900,3701,3520,20-Nov-19
120,Nagpur,Katol,Soyabean,Yellow,FAQ,2900,3716,3520,18-Nov-19
121,Nagpur,Katol,Soyabean,Yellow,FAQ,2900,3715,3460,17-Nov-19
122,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3605,3440,15-Nov-19
123,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3640,3420,14-Nov-19
124,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3769,3520,13-Nov-19
125,Nagpur,Katol,Soyabean,Yellow,FAQ,3001,3675,3420,12-Nov-19
126,Nagpur,Katol,Soyabean,Yellow,FAQ,3001,3717,3420,11-Nov-19
127,Nagpur,Katol,Soyabean,Yellow,FAQ,2700,3717,3520,10-Nov-19
128,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3611,3320,08-Nov-19
129,Nagpur,Katol,Soyabean,Yellow,FAQ,2700,3600,3400,07-Nov-19
130,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3650,3420,05-Nov-19
131,Nagpur,Katol,Soyabean,Yellow,FAQ,2701,3650,3320,04-Nov-19
132,Nagpur,Katol,Soyabean,Yellow,FAQ,2900,3630,3330,03-Nov-19
133,Nagpur,Katol,Soyabean,Yellow,FAQ,2630,3641,3230,01-Nov-19
134,Nagpur,Katol,Soyabean,Yellow,FAQ,2950,3511,3350,31-Oct-19
135,Nagpur,Katol,Soyabean,Yellow,FAQ,3021,3425,3250,23-Oct-19
136,Nagpur,Katol,Soyabean,Yellow,FAQ,3001,3457,3250,22-Oct-19
137,Nagpur,Katol,Soyabean,Yellow,FAQ,2841,3425,3050,18-Oct-19
138,Nagpur,Katol,Soyabean,Yellow,FAQ,3061,3489,3260,17-Oct-19
139,Nagpur,Katol,Soyabean,Yellow,FAQ,2850,3450,3250,16-Oct-19
140,Nagpur,Katol,Soyabean,Yellow,FAQ,2751,3425,3200,15-Oct-19
141,Nagpur,Katol,Soyabean,Yellow,FAQ,3051,3520,3320,14-Oct-19
142,Nagpur,Katol,Soyabean,Yellow,FAQ,2801,3621,3360,13-Oct-19
143,Nagpur,Katol,Soyabean,Yellow,FAQ,3071,3570,3320,11-Oct-19
144,Nagpur,Katol,Soyabean,Yellow,FAQ,3351,3651,3520,09-Oct-19
145,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3711,3520,07-Oct-19
146,Nagpur,Katol,Soyabean,Yellow,FAQ,3251,3701,3520,06-Oct-19
147,Nagpur,Katol,Soyabean,Yellow,FAQ,3751,3851,3795,04-Oct-19
148,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3881,3740,01-Oct-19
149,Nagpur,Katol,Soyabean,Yellow,FAQ,3460,3921,3760,30-Sep-19
150,Nagpur,Katol,Soyabean,Yellow,FAQ,3581,3950,3920,29-Sep-19
151,Nagpur,Katol,Soyabean,Yellow,FAQ,3800,3931,3870,27-Sep-19
152,Nagpur,Katol,Soyabean,Yellow,FAQ,3840,4000,3920,25-Sep-19
153,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3954,3760,24-Sep-19
154,Nagpur,Katol,Soyabean,Yellow,FAQ,3770,3847,3820,23-Sep-19
155,Nagpur,Katol,Soyabean,Yellow,FAQ,3700,3850,3760,22-Sep-19
156,Nagpur,Katol,Soyabean,Yellow,FAQ,3695,3850,3750,20-Sep-19
157,Nagpur,Katol,Soyabean,Yellow,FAQ,3625,3786,3720,19-Sep-19
158,Nagpur,Katol,Soyabean,Yellow,FAQ,3700,3747,3725,18-Sep-19
159,Nagpur,Katol,Soyabean,Yellow,FAQ,3581,3771,3650,17-Sep-19
160,Nagpur,Katol,Soyabean,Yellow,FAQ,3640,3700,3680,16-Sep-19
161,Nagpur,Katol,Soyabean,Yellow,FAQ,3600,3731,3670,15-Sep-19
162,Nagpur,Katol,Soyabean,Yellow,FAQ,3570,3721,3595,13-Sep-19
163,Nagpur,Katol,Soyabean,Yellow,FAQ,3701,3721,3712,12-Sep-19
164,Nagpur,Katol,Soyabean,Yellow,FAQ,3527,3670,3590,11-Sep-19
165,Nagpur,Katol,Soyabean,Yellow,FAQ,3531,3651,3585,09-Sep-19
166,Nagpur,Katol,Soyabean,Yellow,FAQ,3501,3601,3560,08-Sep-19
167,Nagpur,Katol,Soyabean,Yellow,FAQ,3450,3611,3520,06-Sep-19
168,Nagpur,Katol,Soyabean,Yellow,FAQ,3521,3601,3580,05-Sep-19
169,Nagpur,Katol,Soyabean,Yellow,FAQ,3505,3611,3560,04-Sep-19
170,Nagpur,Katol,Soyabean,Yellow,FAQ,3430,3600,3520,03-Sep-19
171,Nagpur,Katol,Soyabean,Yellow,FAQ,3550,3621,3580,01-Sep-19
172,Nagpur,Katol,Soyabean,Yellow,FAQ,3411,3620,3520,29-Aug-19
173,Nagpur,Katol,Soyabean,Yellow,FAQ,3561,3630,3585,28-Aug-19
174,Nagpur,Katol,Soyabean,Yellow,FAQ,3511,3630,3565,27-Aug-19
175,Nagpur,Katol,Soyabean,Yellow,FAQ,3601,3618,3610,26-Aug-19
176,Nagpur,Katol,Soyabean,Yellow,FAQ,3130,3580,3320,25-Aug-19
177,Nagpur,Katol,Soyabean,Yellow,FAQ,3411,3600,3520,23-Aug-19
178,Nagpur,Katol,Soyabean,Yellow,FAQ,3151,3580,3360,22-Aug-19
179,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3601,3420,21-Aug-19
180,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3601,3450,20-Aug-19
181,Nagpur,Katol,Soyabean,Yellow,FAQ,3350,3600,3520,19-Aug-19
182,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3600,3500,18-Aug-19
183,Nagpur,Katol,Soyabean,Yellow,FAQ,3590,3631,3615,16-Aug-19
184,Nagpur,Katol,Soyabean,Yellow,FAQ,3421,3620,3520,14-Aug-19
185,Nagpur,Katol,Soyabean,Yellow,FAQ,3340,3654,3450,13-Aug-19
186,Nagpur,Katol,Soyabean,Yellow,FAQ,3501,3636,3520,11-Aug-19
187,Nagpur,Katol,Soyabean,Yellow,FAQ,3490,3588,3520,09-Aug-19
188,Nagpur,Katol,Soyabean,Yellow,FAQ,3382,3540,3440,08-Aug-19
189,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3548,3420,07-Aug-19
190,Nagpur,Katol,Soyabean,Yellow,FAQ,3380,3540,3440,06-Aug-19
191,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3539,3430,04-Aug-19
192,Nagpur,Katol,Soyabean,Yellow,FAQ,3420,3530,3460,02-Aug-19
193,Nagpur,Katol,Soyabean,Yellow,FAQ,3201,3539,3420,01-Aug-19
194,Nagpur,Katol,Soyabean,Yellow,FAQ,3350,3521,3460,31-Jul-19
195,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3500,3250,30-Jul-19
196,Nagpur,Katol,Soyabean,Yellow,FAQ,3421,3525,3480,29-Jul-19
197,Nagpur,Katol,Soyabean,Yellow,FAQ,3251,3542,3320,28-Jul-19
198,Nagpur,Katol,Soyabean,Yellow,FAQ,3360,3530,3420,26-Jul-19
199,Nagpur,Katol,Soyabean,Yellow,FAQ,3351,3525,3430,25-Jul-19
200,Nagpur,Katol,Soyabean,Yellow,FAQ,3381,3520,3420,24-Jul-19
201,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3500,3450,23-Jul-19
202,Nagpur,Katol,Soyabean,Yellow,FAQ,3390,3520,3420,22-Jul-19
203,Nagpur,Katol,Soyabean,Yellow,FAQ,3321,3530,3420,21-Jul-19
204,Nagpur,Katol,Soyabean,Yellow,FAQ,3230,3531,3420,19-Jul-19
205,Nagpur,Katol,Soyabean,Yellow,FAQ,3232,3555,3340,18-Jul-19
206,Nagpur,Katol,Soyabean,Yellow,FAQ,3447,3540,3480,17-Jul-19
207,Nagpur,Katol,Soyabean,Yellow,FAQ,3440,3544,3480,16-Jul-19
208,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3561,3340,15-Jul-19
209,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3551,3422,14-Jul-19
210,Nagpur,Katol,Soyabean,Yellow,FAQ,3280,3461,3320,12-Jul-19
211,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3440,3250,11-Jul-19
212,Nagpur,Katol,Soyabean,Yellow,FAQ,3215,3450,3320,10-Jul-19
213,Nagpur,Katol,Soyabean,Yellow,FAQ,2901,3511,3320,08-Jul-19
214,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3550,3320,07-Jul-19
215,Nagpur,Katol,Soyabean,Yellow,FAQ,3310,3535,3430,05-Jul-19
216,Nagpur,Katol,Soyabean,Yellow,FAQ,3370,3580,3430,04-Jul-19
217,Nagpur,Katol,Soyabean,Yellow,FAQ,3101,3590,3320,03-Jul-19
218,Nagpur,Katol,Soyabean,Yellow,FAQ,3470,3624,3520,02-Jul-19
219,Nagpur,Katol,Soyabean,Yellow,FAQ,3215,3585,3350,01-Jul-19
220,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3500,3450,30-Jun-19
221,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3561,3460,28-Jun-19
222,Nagpur,Katol,Soyabean,Yellow,FAQ,3321,3535,3430,27-Jun-19
223,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3535,3460,26-Jun-19
224,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3521,3320,25-Jun-19
225,Nagpur,Katol,Soyabean,Yellow,FAQ,3170,3538,3320,24-Jun-19
226,Nagpur,Katol,Soyabean,Yellow,FAQ,2701,3580,3320,23-Jun-19
227,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3586,3322,21-Jun-19
228,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3614,3360,20-Jun-19
229,Nagpur,Katol,Soyabean,Yellow,FAQ,3290,3590,3390,19-Jun-19
230,Nagpur,Katol,Soyabean,Yellow,FAQ,3250,3620,3440,18-Jun-19
231,Nagpur,Katol,Soyabean,Yellow,FAQ,3040,3607,3345,17-Jun-19
232,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3621,3460,16-Jun-19
233,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3671,3420,14-Jun-19
234,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3551,3420,13-Jun-19
235,Nagpur,Katol,Soyabean,Yellow,FAQ,3150,3530,3320,12-Jun-19
236,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3546,3450,11-Jun-19
237,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3551,3340,10-Jun-19
238,Nagpur,Katol,Soyabean,Yellow,FAQ,3270,3600,3450,09-Jun-19
239,Nagpur,Katol,Soyabean,Yellow,FAQ,3090,3638,3420,07-Jun-19
240,Nagpur,Katol,Soyabean,Yellow,FAQ,3111,3627,3420,06-Jun-19
241,Nagpur,Katol,Soyabean,Yellow,FAQ,3180,3624,3350,04-Jun-19
242,Nagpur,Katol,Soyabean,Yellow,FAQ,3351,3675,3520,03-Jun-19
243,Nagpur,Katol,Soyabean,Yellow,FAQ,3241,3709,3550,02-Jun-19
244,Nagpur,Katol,Soyabean,Yellow,FAQ,3477,3690,3530,31-May-19
245,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3700,3550,30-May-19
246,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3720,3520,29-May-19
247,Nagpur,Katol,Soyabean,Yellow,FAQ,3250,3725,3550,28-May-19
248,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3722,3522,27-May-19
249,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3700,3500,26-May-19
250,Nagpur,Katol,Soyabean,Yellow,FAQ,3150,3700,3560,24-May-19
251,Nagpur,Katol,Soyabean,Yellow,FAQ,3341,3680,3520,23-May-19
252,Nagpur,Katol,Soyabean,Yellow,FAQ,3381,3611,3460,22-May-19
253,Nagpur,Katol,Soyabean,Yellow,FAQ,3311,3575,3320,21-May-19
254,Nagpur,Katol,Soyabean,Yellow,FAQ,3451,3690,3530,15-May-19
255,Nagpur,Katol,Soyabean,Yellow,FAQ,3550,3550,3550,14-May-19
256,Nagpur,Katol,Soyabean,Yellow,FAQ,3250,3651,3420,13-May-19
257,Nagpur,Katol,Soyabean,Yellow,FAQ,3446,3626,3520,12-May-19
258,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3600,3400,10-May-19
259,Nagpur,Katol,Soyabean,Yellow,FAQ,3050,3631,3420,09-May-19
260,Nagpur,Katol,Soyabean,Yellow,FAQ,3240,3563,3345,08-May-19
261,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3540,3350,06-May-19
262,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3535,3330,05-May-19
263,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3511,3320,03-May-19
264,Nagpur,Katol,Soyabean,Yellow,FAQ,3319,3620,3430,02-May-19
265,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3609,3420,30-Apr-19
266,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3668,3520,29-Apr-19
267,Nagpur,Katol,Soyabean,Yellow,FAQ,3500,3600,3550,28-Apr-19
268,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3640,3520,26-Apr-19
269,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3661,3520,25-Apr-19
270,Nagpur,Katol,Soyabean,Yellow,FAQ,3351,3641,3450,23-Apr-19
271,Nagpur,Katol,Soyabean,Yellow,FAQ,3501,3657,3560,22-Apr-19
272,Nagpur,Katol,Soyabean,Yellow,FAQ,3625,3700,3685,17-Apr-19
273,Nagpur,Katol,Soyabean,Yellow,FAQ,3280,3717,3550,16-Apr-19
274,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3701,3520,15-Apr-19
275,Nagpur,Katol,Soyabean,Yellow,FAQ,3461,3721,3520,12-Apr-19
276,Nagpur,Katol,Soyabean,Yellow,FAQ,3216,3693,3420,10-Apr-19
277,Nagpur,Katol,Soyabean,Yellow,FAQ,3380,3730,3550,09-Apr-19
278,Nagpur,Katol,Soyabean,Yellow,FAQ,3261,3750,3550,08-Apr-19
279,Nagpur,Katol,Soyabean,Yellow,FAQ,3261,3791,3550,07-Apr-19
280,Nagpur,Katol,Soyabean,Yellow,FAQ,2800,3770,3530,05-Apr-19
281,Nagpur,Katol,Soyabean,Yellow,FAQ,3176,3715,3550,04-Apr-19
282,Nagpur,Katol,Soyabean,Yellow,FAQ,3400,3709,3520,03-Apr-19
283,Nagpur,Katol,Soyabean,Yellow,FAQ,3300,3700,3500,02-Apr-19
284,Nagpur,Katol,Soyabean,Yellow,FAQ,3175,3648,3420,01-Apr-19
285,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3613,3430,31-Mar-19
286,Nagpur,Katol,Soyabean,Yellow,FAQ,3250,3600,3420,29-Mar-19
287,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3600,3400,28-Mar-19
288,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3600,3400,27-Mar-19
289,Nagpur,Katol,Soyabean,Yellow,FAQ,3481,3600,3520,26-Mar-19
290,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3560,3350,25-Mar-19
291,Nagpur,Katol,Soyabean,Yellow,FAQ,3200,3627,3450,24-Mar-19
292,Nagpur,Katol,Soyabean,Yellow,FAQ,3141,3551,3340,19-Mar-19
293,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3591,3320,18-Mar-19
294,Nagpur,Katol,Soyabean,Yellow,FAQ,3000,3575,3360,17-Mar-19
295,Nagpur,Katol,Soyabean,Yellow,FAQ,3175,3581,3320,15-Mar-19
296,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3577,3320,14-Mar-19
297,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3583,3320,13-Mar-19
298,Nagpur,Katol,Soyabean,Yellow,FAQ,3250,3541,3360,12-Mar-19
299,Nagpur,Katol,Soyabean,Yellow,FAQ,3120,3631,3430,11-Mar-19
300,Nagpur,Katol,Soyabean,Yellow,FAQ,3100,3617,3420,10-Mar-19
301,Nagpur,Katol,Soyabean,Yellow,FAQ,3261,3618,3420,08-Mar-19
302,Nagpur,Katol,Soyabean,Yellow,FAQ,3150,3645,3420,07-Mar-19
